"NULL_PREDICTORxcolumn","NULL_PREDICTORxis_factor_by_mse","NULL_PREDICTORxis_factor_by_prop","NULL_PREDICTORxpval_test_mse_diff","NULL_PREDICTORxpval_test_prop_diff","NULL_PREDICTORxformula_null","NULL_PREDICTORxformula_fit","NULL_PREDICTORxtest_mse_null","NULL_PREDICTORxtest_mse_fit","NULL_PREDICTORxtest_pbest_null","NULL_PREDICTORxtest_pbest_fit","adj_rsq_null","adj_rsq_fit","n_slopes_null","n_slopes_fit","adj_n_slopes_null","adj_n_slopes_fit","df_null","df_fit","df_ratio_null","df_ratio_fit","alias_null","alias_fit","na_null","na_fit","mean_pval_null","mean_pval_fit","median_pval_null","median_pval_fit","max_pval_null","max_pval_fit","sd_pval_null","sd_pval_fit","aic_null_to_fit_diff","anova_p","pval_param","adj_rsq_param","predictor_is_null"
"1","Chick",FALSE,FALSE,0.927464320331439,0.999999999999579,"NUMBERxweight~F_AS_NxTime+FACTORxChick","NUMBERxweight~F_AS_NxTime+FACTORxChick+F_AS_NxTime:FACTORxChick",910.639339769092,320.528011554407,0.650519031141868,0.349480968858132,0.837100781470925,0.974316696503258,51,100,51,100,238,189,4.66666666666667,1.89,0,0,0,0,0.365574590694235,0.282310525832322,0.320677241891349,0.174326552010478,0.953064237035555,0.946501742148608,0.953064237035555,0.946501742148608,502.48832275203,8.33292756055564e-63,2.32767502793118e-91,0.96423160650379,FALSE
"2","Diet",FALSE,FALSE,0.950093868791357,0.999999979957423,"NUMBERxweight~F_AS_NxTime+FACTORxDiet","NUMBERxweight~F_AS_NxTime+FACTORxDiet+F_AS_NxTime:FACTORxDiet",1157.40092627613,1017.14138895145,0.615916955017301,0.384083044982699,0.736551367921482,0.758722782325482,5,8,5,8,284,281,56.8,35.125,0,0,0,0,0.0132191654412856,0.260831463803717,4.81028995081546e-06,0.00289737253296176,0.0657509052696441,0.98934008114623,0.0657509052696441,0.98934008114623,22.4755803509356,4.12599936434131e-06,5.19565541521488e-80,0.583890170686322,FALSE
"3","Time",FALSE,FALSE,0.0768010795807385,0.999999700193874,"NUMBERxweight~F_AS_NxChick+FACTORxTime","NUMBERxweight~F_AS_NxChick+FACTORxTime+F_AS_NxChick:FACTORxTime",1428.71517815222,1366.24024958753,0.605536332179931,0.394463667820069,0.733803828726024,0.740524270287928,13,24,13,24,276,265,21.2307692307692,11.0416666666667,0,0,0,0,0.0393763135791233,0.249345143854793,3.07834872829857e-10,0.0817158884309194,0.429670868388008,0.962921299294475,0.429670868388008,0.962921299294475,-2.85623783194933,0.0851460389346844,8.72226394404353e-08,0.958396068523902,FALSE
"4","Diet",FALSE,FALSE,0.495230270959648,0.5,"NUMBERxweight~F_AS_NxChick+FACTORxDiet","NUMBERxweight~F_AS_NxChick+FACTORxDiet+F_AS_NxChick:FACTORxDiet",4559.01266461679,4539.15151185755,0.498269896193772,0.501730103806228,0.0774015784257731,0.070714361040628,5,8,5,8,284,281,56.8,35.125,0,0,0,0,0.0150578442934286,0.450315197278359,0.00141742587688275,0.463493254374595,0.0655484578662963,0.86416551248825,0.0655484578662963,0.86416551248825,-5.01813166951933,0.811803963572384,0.0655484578662963,0.998963161595533,FALSE
"5","Time",FALSE,FALSE,0.079558309877403,0.999999999999965,"NUMBERxweight~F_AS_NxDiet+FACTORxTime","NUMBERxweight~F_AS_NxDiet+FACTORxTime+F_AS_NxDiet:FACTORxTime",1392.26224073149,1310.33346034376,0.657439446366782,0.342560553633218,0.743123647859356,0.753123689562979,13,24,13,24,276,265,21.2307692307692,11.0416666666667,0,0,0,0,0.0397715213108411,0.238534116011705,1.35144722510107e-10,0.0631577658965573,0.346839480400219,0.971085381543938,0.346839480400219,0.971085381543938,1.22937061505991,0.0271597480684248,5.59589249458214e-10,0.950204489972951,FALSE
"6","Chick",FALSE,FALSE,1,1,"NUMBERxweight~F_AS_NxDiet+FACTORxChick","NUMBERxweight~F_AS_NxDiet+FACTORxChick+F_AS_NxDiet:FACTORxChick",5243.32170744768,5243.32170744768,1,0,0.0853392387016598,0.0853392387016598,51,100,50,50,239,239,4.78,4.78,1,50,0,0,0.501156529435432,0.501156529435432,0.488380273679864,0.488380273679864,0.997841106012455,0.997841106012455,0.997841106012455,0.997841106012455,0,0,1,0,FALSE
"7","Time",FALSE,FALSE,0.979975274122056,0.999967388841961,"NUMBERxweight~F_AS_NxTime","NUMBERxweight~FACTORxTime",1511.7063112123,1578.84163011154,0.58477508650519,0.41522491349481,0.699000199884252,0.705709696159698,2,12,2,12,287,277,143.5,23.0833333333333,0,0,0,0,5.15753063166358e-10,0.0464658824978495,5.15753063166358e-10,1.99147037188358e-09,1.03150612633272e-09,0.471139470226731,1.03150612633272e-09,0.471139470226731,-3.23580300087133,0.0914086622402182,5.09210204849387e-77,0.982060465188436,TRUE
"8","Chick",FALSE,FALSE,0.170835538930206,0.0671442666770518,"NUMBERxweight~F_AS_NxChick","NUMBERxweight~FACTORxChick",4952.276867416,5243.32170744768,0.467128027681661,0.532871972318339,0.011671124354261,0.0853392387016599,2,50,2,50,287,239,143.5,4.78,0,0,0,0,0.0183963454434486,0.527449214139761,0.0183963454434486,0.503975969053075,0.0367926908868973,0.993830500832236,0.0367926908868973,0.993830500832236,-20.7210105296203,0.0301146071961973,0.0367926908868973,0.967302422441911,TRUE
"9","Diet",TRUE,FALSE,0.0193221634090401,0.433929717019175,"NUMBERxweight~F_AS_NxDiet","NUMBERxweight~FACTORxDiet",4457.38937900056,4582.72767142635,0.494809688581315,0.505190311418685,0.0472179377798381,0.0695757202775843,2,4,2,4,287,285,143.5,71.25,0,0,0,0,5.80683862990926e-05,0.00216206189687167,5.80683862990926e-05,0.00202530972595861,0.000116136772598185,0.00459762813556944,0.000116136772598185,0.00459762813556944,4.88343519928912,0.0125223461406279,0.000116136772598185,0.566594835507626,TRUE
"10","Plant",FALSE,TRUE,0.060924883372536,0.00818865417074745,"NUMBERxuptake~F_AS_Nxconc+FACTORxPlant","NUMBERxuptake~F_AS_Nxconc+FACTORxPlant+F_AS_Nxconc:FACTORxPlant",52.5418680574531,168.035424013889,0.357142857142857,0.642857142857143,0.730909983921427,0.777300130653989,13,24,13,24,29,18,2.23076923076923,0.75,0,0,0,0,0.136608123169832,0.459222874041564,0.0119212749274693,0.441162514567978,0.943545877580526,0.96696349830611,0.943545877580526,0.96696349830611,5.97809169663412,0.197778673698457,4.19134249954701e-06,0.788271014688774,FALSE
"11","Type",FALSE,FALSE,0.603643837267617,0.0633152289738086,"NUMBERxuptake~F_AS_Nxconc+FACTORxType","NUMBERxuptake~F_AS_Nxconc+FACTORxType+F_AS_Nxconc:FACTORxType",60.1669664501409,60.4624108905366,0.404761904761905,0.595238095238095,0.634243084734463,0.669334686013929,3,4,3,4,39,38,13,9.5,0,0,0,0,6.83623373255698e-05,0.0296250926042081,7.64688031111935e-06,0.026476466031886,0.000197436900484938,0.0655464052522926,0.000197436900484938,0.0655464052522926,3.32718362541829,0.0291707787503211,1,0,FALSE
"12","Treatment",FALSE,FALSE,0.673814553018921,0.137616762037417,"NUMBERxuptake~F_AS_Nxconc+FACTORxTreatment","NUMBERxuptake~F_AS_Nxconc+FACTORxTreatment+F_AS_Nxconc:FACTORxTreatment",66.7743281728412,68.6342786932704,0.428571428571429,0.571428571428571,0.255884018054703,0.253417655369712,3,4,3,4,39,38,13,9.5,0,0,0,0,0.00449441129579288,0.228308639677439,0.0056436178903397,0.236857927573029,0.00783500885331958,0.439505939821516,0.00783500885331958,0.439505939821516,-1.04800782768552,0.356526896750957,1,0,FALSE
"13","conc",TRUE,TRUE,0.0457979339714711,2.29641685587699e-06,"NUMBERxuptake~F_AS_NxPlant+FACTORxconc","NUMBERxuptake~F_AS_NxPlant+FACTORxconc+F_AS_NxPlant:FACTORxconc",22.8606051740012,72.32,0.238095238095238,0.761904761904762,0.904262295076375,1,18,84,18,42,24,0,1.33333333333333,0,0,42,0,0,0.0756562858338154,0,0.000212879996992775,0,0.759673901122729,0,0.759673901122729,0,NA,0,0.759673901122729,0.896042816772186,FALSE
"14","Type",FALSE,FALSE,1,1,"NUMBERxuptake~F_AS_NxPlant+FACTORxType","NUMBERxuptake~F_AS_NxPlant+FACTORxType+F_AS_NxPlant:FACTORxType",104.998936772487,104.998936772487,1,0,0.60815577693231,0.60815577693231,13,24,12,12,30,30,2.5,2.5,1,12,0,0,0.162298674011157,0.162298674011157,0.0701323096976094,0.0701323096976094,0.709158829703168,0.709158829703168,0.709158829703168,0.709158829703168,0,0,1,0,FALSE
"15","Treatment",FALSE,FALSE,1,1,"NUMBERxuptake~F_AS_NxPlant+FACTORxTreatment","NUMBERxuptake~F_AS_NxPlant+FACTORxTreatment+F_AS_NxPlant:FACTORxTreatment",104.998936772487,104.998936772487,1,0,0.60815577693231,0.60815577693231,13,24,12,12,30,30,2.5,2.5,1,12,0,0,0.162298674011157,0.162298674011157,0.0701323096976094,0.0701323096976094,0.709158829703168,0.709158829703168,0.709158829703168,0.709158829703168,0,0,1,0,FALSE
"16","conc",FALSE,FALSE,0.721766604741497,0.5,"NUMBERxuptake~F_AS_NxType+FACTORxconc","NUMBERxuptake~F_AS_NxType+FACTORxconc+F_AS_NxType:FACTORxconc",46.6613362807926,59.5627742063493,0.5,0.5,0.817116320179675,0.862781866242534,8,14,8,14,34,28,4.25,2,0,0,0,0,0.00132974511377342,0.122773925858992,5.03084907975142e-08,0.0229169673374796,0.00904154306554164,0.66270153008365,0.00904154306554164,0.66270153008365,8.22024727738039,0.025637418670632,8.73554172068232e-09,0.852797272757258,FALSE
"17","Plant",FALSE,FALSE,1,1,"NUMBERxuptake~F_AS_NxType+FACTORxPlant","NUMBERxuptake~F_AS_NxType+FACTORxPlant+F_AS_NxType:FACTORxPlant",88.8435736772487,88.8435736772487,1,0,0.453670092978862,0.453670092978862,13,24,12,12,30,30,2.5,2.5,1,12,0,0,0.385277734839574,0.385277734839574,0.40955254832394,0.40955254832394,0.927004951402302,0.927004951402302,0.927004951402302,0.927004951402302,0,0,1,0,FALSE
"18","Treatment",TRUE,FALSE,3.50464279244989e-05,0.743654619869038,"NUMBERxuptake~F_AS_NxType+FACTORxTreatment","NUMBERxuptake~F_AS_NxType+FACTORxTreatment+F_AS_NxType:FACTORxTreatment",73.4794105757787,72.2655826530613,0.547619047619048,0.452380952380952,0.525893836993052,0.553990553178593,3,4,3,4,39,38,13,9.5,0,0,0,0,0.0164815669298925,0.0198076485427842,7.65795754349074e-07,0.00424181626632296,0.0494439349460999,0.0707469586307611,0.0494439349460999,0.0707469586307611,1.65679814916035,0.0707469586307616,1,0,FALSE
"19","conc",TRUE,TRUE,0.0285741644369327,0.0247673067178134,"NUMBERxuptake~F_AS_NxTreatment+FACTORxconc","NUMBERxuptake~F_AS_NxTreatment+FACTORxconc+F_AS_NxTreatment:FACTORxconc",75.7946482705813,123.166014285714,0.380952380952381,0.619047619047619,0.54180541746848,0.549377170342026,8,14,8,14,34,28,4.25,2,0,0,0,0,0.0295065596615893,0.269568027243822,0.000544920606887818,0.260403841887204,0.129974294440865,0.823915151144948,0.129974294440865,0.823915151144948,-3.14559069002706,0.389608430637893,0.129974294440865,0.912314761142855,FALSE
